"","","rst2","rst3","",""
"year",1986,0,0,0,1988,0
"a",0.000363068574927079,-0.00958310147811399,0,0,7.50049855629473e-05,-0.00420762019823044
"c",0.541273805601913,20.2943675309415,0,0,0.591645320328461,9.10550418570971
"p of a",0.964464541331406,0.0346766764938228,0,0,0.977477562574755,0.0460454740442318
