"V1","V2","V3","V4","V5","V6","V7","V8"
"year",1971,0,1970,0,1970,0,1971,0
"a",-0.00809898113799946,0.00151104754024397,-0.138253884809122,0.0204712312205687,-0.124069449405627,0.0181731646545402,-0.00530505616940373,0.00117532405521491
"c",15.9817672587898,-2.95959926602796,272.55347560436,-40.135002974131,244.563378748594,-35.6545709499349,10.4775774899461,-2.29525193277727
"p of a",0.148113115182501,0.000508831801528058,0.140596503451249,0.000330200194034463,0.137906950457516,0.000262628914498094,0.195685499654373,0.00215603034433726
