"V1","V2","V3","V4","V5","V6","V7","V8"
"year",1976,0,1976,0,1983,0,1970,0
"a",-0.051872722775178,0.0563782375391665,-0.430782662665114,0.421971433692461,-0.00205904374758379,0.0109947442505815,-0.0111153503446985,0.00466309442914232
"c",103.967852021642,-109.936045559503,860.339237541384,-824.702856861185,5.32906812714909,-20.5565934732127,22.6540242218542,-8.42951198261224
"p of a",0.0143610679894529,3.50424925925892e-06,0.00563668857424225,2.43617142518707e-06,0.688599127201632,0.000394328047634279,0.257154662758146,8.07739268478199e-06
